Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-1.250000;-0.250000;-1.250000;1.888036;neutron;2.352111
-1.250000;-0.250000;-1.250000;0.338833;neutron;2.359321
-1.250000;-0.250000;-1.250000;4.561508;alpha;0.413371
-1.250000;-0.250000;-0.750000;1.809216;neutron;2.470342
-1.250000;-0.250000;-0.750000;0.207486;neutron;0.458101
-1.250000;-0.250000;-0.750000;3.056874;neutron;1.246750
-1.250000;-0.250000;-0.750000;0.338833;neutron;1.813694
-1.250000;-0.250000;-0.750000;4.664971;alpha;0.446118
-1.250000;-0.250000;-0.750000;4.561508;alpha;0.413371
-1.250000;-0.250000;-0.750000;0.769292;alpha;1.081433
-1.250000;-0.250000;-0.250000;1.809216;neutron;1.826322
-1.250000;-0.250000;-0.250000;0.411348;neutron;0.231952
-1.250000;-0.250000;-0.250000;0.207486;neutron;1.191282
-1.250000;-0.250000;-0.250000;3.056874;neutron;1.246750
-1.250000;-0.250000;-0.250000;0.338833;neutron;1.150282
-1.250000;-0.250000;-0.250000;4.664971;alpha;0.446118
-1.250000;-0.250000;-0.250000;4.561508;alpha;0.413371
-1.250000;-0.250000;-0.250000;0.769292;alpha;1.081433
-1.250000;-0.250000;0.250000;1.809216;neutron;0.972276
-1.250000;-0.250000;0.250000;0.411348;neutron;0.797935
-1.250000;-0.250000;0.250000;0.207486;neutron;1.191282
-1.250000;-0.250000;0.250000;3.056874;neutron;1.246750
-1.250000;-0.250000;0.250000;0.338833;neutron;0.486870
-1.250000;-0.250000;0.250000;4.664971;alpha;0.446118
-1.250000;-0.250000;0.250000;4.561508;alpha;0.413371
-1.250000;-0.250000;0.250000;0.769292;alpha;1.081433
-1.250000;-0.250000;0.750000;1.809216;neutron;0.118230
-1.250000;-0.250000;0.750000;0.411348;neutron;1.363918
-1.250000;-0.250000;0.750000;0.207486;neutron;1.191282
-1.250000;-0.250000;0.750000;3.056874;neutron;1.246750
-1.250000;-0.250000;0.750000;4.664971;alpha;0.446118
-1.250000;-0.250000;0.750000;0.769292;alpha;1.081433
-1.250000;0.250000;-1.250000;1.888036;neutron;2.352111
-1.250000;0.250000;-1.250000;0.338833;neutron;1.212293
-1.250000;0.250000;-0.750000;1.809216;neutron;2.470342
-1.250000;0.250000;-0.750000;0.207486;neutron;0.458101
-1.250000;0.250000;-0.750000;3.056874;neutron;1.523709
-1.250000;0.250000;-0.750000;0.338833;neutron;1.212293
-1.250000;0.250000;-0.750000;4.664971;alpha;1.048762
-1.250000;0.250000;-0.750000;0.769292;alpha;0.469667
-1.250000;0.250000;-0.250000;1.809216;neutron;1.826322
-1.250000;0.250000;-0.250000;0.411348;neutron;0.231952
-1.250000;0.250000;-0.250000;0.207486;neutron;1.996761
-1.250000;0.250000;-0.250000;3.056874;neutron;2.271293
-1.250000;0.250000;-0.250000;0.338833;neutron;1.150282
-1.250000;0.250000;-0.250000;4.664971;alpha;1.048762
-1.250000;0.250000;-0.250000;0.769292;alpha;0.469667
-1.250000;0.250000;0.250000;1.809216;neutron;0.972276
-1.250000;0.250000;0.250000;0.411348;neutron;0.797935
-1.250000;0.250000;0.250000;0.207486;neutron;2.192957
-1.250000;0.250000;0.250000;3.056874;neutron;2.271293
-1.250000;0.250000;0.250000;0.338833;neutron;0.486870
-1.250000;0.250000;0.250000;4.664971;alpha;1.048762
-1.250000;0.250000;0.250000;0.769292;alpha;0.469667
-1.250000;0.250000;0.750000;1.809216;neutron;0.118230
-1.250000;0.250000;0.750000;0.411348;neutron;1.363918
-1.250000;0.250000;0.750000;0.207486;neutron;2.192957
-1.250000;0.250000;0.750000;3.056874;neutron;2.271293
-1.250000;0.250000;0.750000;4.664971;alpha;1.048762
-1.250000;0.250000;0.750000;0.769292;alpha;0.469667
-1.250000;0.750000;-1.250000;1.888036;neutron;2.352111
-1.250000;0.750000;-1.250000;0.338833;neutron;0.065265
-1.250000;0.750000;-0.750000;1.809216;neutron;2.470342
-1.250000;0.750000;-0.750000;0.207486;neutron;0.458101
-1.250000;0.750000;-0.750000;3.056874;neutron;1.523709
-1.250000;0.750000;-0.750000;0.338833;neutron;0.065265
-1.250000;0.750000;-0.750000;4.664971;alpha;1.651405
-1.250000;0.750000;-0.250000;1.809216;neutron;1.826322
-1.250000;0.750000;-0.250000;0.411348;neutron;0.231952
-1.250000;0.750000;-0.250000;0.207486;neutron;1.996761
-1.250000;0.750000;-0.250000;3.056874;neutron;2.320511
-1.250000;0.750000;-0.250000;0.338833;neutron;0.065265
-1.250000;0.750000;-0.250000;4.664971;alpha;1.651405
-1.250000;0.750000;0.250000;1.809216;neutron;0.972276
-1.250000;0.750000;0.250000;0.411348;neutron;0.797935
-1.250000;0.750000;0.250000;0.207486;neutron;2.489833
-1.250000;0.750000;0.250000;3.056874;neutron;2.320511
-1.250000;0.750000;0.250000;0.338833;neutron;0.065265
-1.250000;0.750000;0.250000;4.664971;alpha;1.651405
-1.250000;0.750000;0.750000;1.809216;neutron;0.118230
-1.250000;0.750000;0.750000;0.411348;neutron;1.363918
-1.250000;0.750000;0.750000;0.207486;neutron;2.489833
-1.250000;0.750000;0.750000;3.056874;neutron;2.320511
-1.250000;0.750000;0.750000;4.664971;alpha;1.651405
-0.750000;-0.250000;-1.250000;1.888036;neutron;1.734526
-0.750000;-0.250000;-1.250000;0.221137;neutron;2.535864
-0.750000;-0.250000;-1.250000;3.104132;alpha;0.363060
-0.750000;-0.250000;-1.250000;4.242375;alpha;0.892070
-0.750000;0.250000;-1.250000;1.888036;neutron;1.734526
-0.750000;0.250000;-1.250000;0.221137;neutron;1.388836
-0.750000;0.250000;-1.250000;3.104132;alpha;0.363060
-0.750000;0.250000;-1.250000;4.242375;alpha;0.311616
-0.750000;0.750000;-1.250000;1.888036;neutron;1.734526
-0.750000;0.750000;-1.250000;0.221137;neutron;0.241808
-0.750000;0.750000;-1.250000;3.104132;alpha;0.363060
-0.250000;-0.250000;-1.250000;1.888036;neutron;1.116941
-0.250000;-0.250000;-1.250000;2.998622;neutron;0.472810
-0.250000;-0.250000;-1.250000;0.221137;neutron;2.209538
-0.250000;-0.250000;-1.250000;0.466178;neutron;0.312969
-0.250000;-0.250000;-1.250000;3.104132;alpha;1.660091
-0.250000;-0.250000;-1.250000;4.242375;alpha;0.892070
-0.250000;0.250000;-1.250000;1.888036;neutron;1.116941
-0.250000;0.250000;-1.250000;2.998622;neutron;0.472810
