Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-1.250000;-0.250000;-1.250000;-0.809605;0.042312;-0.585449;2.352111;1.888036
neutron;-1.250000;-0.250000;-0.750000;-0.809605;0.042312;-0.585449;2.470342;1.809216
neutron;-1.250000;-0.250000;-0.250000;-0.809605;0.042312;-0.585449;1.826322;1.809216
neutron;-1.250000;-0.250000;0.250000;-0.809605;0.042312;-0.585449;0.972276;1.809216
neutron;-1.250000;-0.250000;0.750000;-0.809605;0.042312;-0.585449;0.118230;1.809216
neutron;-1.250000;0.250000;-1.250000;-0.809605;0.042312;-0.585449;2.352111;1.888036
neutron;-1.250000;0.250000;-0.750000;-0.809605;0.042312;-0.585449;2.470342;1.809216
neutron;-1.250000;0.250000;-0.250000;-0.809605;0.042312;-0.585449;1.826322;1.809216
neutron;-1.250000;0.250000;0.250000;-0.809605;0.042312;-0.585449;0.972276;1.809216
neutron;-1.250000;0.250000;0.750000;-0.809605;0.042312;-0.585449;0.118230;1.809216
neutron;-1.250000;0.750000;-1.250000;-0.809605;0.042312;-0.585449;2.352111;1.888036
neutron;-1.250000;0.750000;-0.750000;-0.809605;0.042312;-0.585449;2.470342;1.809216
neutron;-1.250000;0.750000;-0.250000;-0.809605;0.042312;-0.585449;1.826322;1.809216
neutron;-1.250000;0.750000;0.250000;-0.809605;0.042312;-0.585449;0.972276;1.809216
neutron;-1.250000;0.750000;0.750000;-0.809605;0.042312;-0.585449;0.118230;1.809216
neutron;-0.750000;-0.250000;-1.250000;-0.809605;0.042312;-0.585449;1.734526;1.888036
neutron;-0.750000;0.250000;-1.250000;-0.809605;0.042312;-0.585449;1.734526;1.888036
neutron;-0.750000;0.750000;-1.250000;-0.809605;0.042312;-0.585449;1.734526;1.888036
neutron;-0.250000;-0.250000;-1.250000;-0.809605;0.042312;-0.585449;1.116941;1.888036
neutron;-0.250000;0.250000;-1.250000;-0.809605;0.042312;-0.585449;1.116941;1.888036
neutron;-0.250000;0.750000;-1.250000;-0.809605;0.042312;-0.585449;1.116941;1.888036
neutron;0.250000;-0.250000;-1.250000;-0.809605;0.042312;-0.585449;0.499355;1.888036
neutron;0.250000;0.250000;-1.250000;-0.809605;0.042312;-0.585449;0.499355;1.888036
neutron;0.250000;0.750000;-1.250000;-0.809605;0.042312;-0.585449;0.499355;1.888036
neutron;-1.250000;-0.250000;-0.250000;-0.405172;0.235386;0.883419;0.231952;0.411348
neutron;-1.250000;-0.250000;0.250000;-0.405172;0.235386;0.883419;0.797935;0.411348
neutron;-1.250000;-0.250000;0.750000;-0.405172;0.235386;0.883419;1.363918;0.411348
neutron;-1.250000;-0.250000;1.250000;-0.405172;0.235386;0.883419;1.929901;0.411348
neutron;-1.250000;0.250000;-0.250000;-0.405172;0.235386;0.883419;0.231952;0.411348
neutron;-1.250000;0.250000;0.250000;-0.405172;0.235386;0.883419;0.797935;0.411348
neutron;-1.250000;0.250000;0.750000;-0.405172;0.235386;0.883419;1.363918;0.411348
neutron;-1.250000;0.250000;1.250000;-0.405172;0.235386;0.883419;1.929901;0.411348
neutron;-1.250000;0.750000;-0.250000;-0.405172;0.235386;0.883419;0.231952;0.411348
neutron;-1.250000;0.750000;0.250000;-0.405172;0.235386;0.883419;0.797935;0.411348
neutron;-1.250000;0.750000;0.750000;-0.405172;0.235386;0.883419;1.363918;0.411348
neutron;-1.250000;0.750000;1.250000;-0.405172;0.235386;0.883419;1.929901;0.411348
neutron;-1.250000;1.250000;0.250000;-0.405172;0.235386;0.883419;0.352873;0.708056
neutron;-1.250000;1.250000;0.750000;-0.405172;0.235386;0.883419;0.918856;0.708056
neutron;-1.250000;1.250000;1.250000;-0.405172;0.235386;0.883419;1.484839;0.708056
