Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-1.500000;0.000000;-0.500000;-0.507439;-0.859146;0.066129;0.178606;0.656893
neutron;-1.500000;0.000000;0.000000;-0.507439;-0.859146;0.066129;0.178606;0.656893
neutron;-1.500000;0.000000;0.500000;-0.507439;-0.859146;0.066129;0.178606;0.656893
neutron;-1.500000;0.000000;1.000000;-0.507439;-0.859146;0.066129;0.178606;0.656893
neutron;-1.000000;0.000000;-0.500000;-0.507439;-0.859146;0.066129;1.163946;0.000000
neutron;-1.000000;0.000000;0.000000;-0.507439;-0.859146;0.066129;1.163946;0.000000
neutron;-1.000000;0.000000;0.500000;-0.507439;-0.859146;0.066129;1.163946;0.000000
neutron;-1.000000;0.000000;1.000000;-0.507439;-0.859146;0.066129;1.163946;0.000000
neutron;-1.000000;0.500000;-0.500000;-0.507439;-0.859146;0.066129;0.581973;0.000000
neutron;-1.000000;0.500000;0.000000;-0.507439;-0.859146;0.066129;0.581973;0.000000
neutron;-1.000000;0.500000;0.500000;-0.507439;-0.859146;0.066129;0.581973;0.000000
neutron;-1.000000;0.500000;1.000000;-0.507439;-0.859146;0.066129;0.581973;0.000000
neutron;-0.500000;0.000000;1.000000;-0.507439;-0.859146;0.066129;1.163946;0.000000
neutron;-0.500000;0.500000;1.000000;-0.507439;-0.859146;0.066129;0.581973;0.000000
neutron;0.000000;0.000000;1.000000;-0.507439;-0.859146;0.066129;1.163946;0.000000
neutron;0.000000;0.500000;1.000000;-0.507439;-0.859146;0.066129;0.581973;0.000000
neutron;0.500000;0.000000;1.000000;-0.507439;-0.859146;0.066129;0.985340;0.000000
neutron;0.500000;0.500000;1.000000;-0.507439;-0.859146;0.066129;0.581973;0.000000
neutron;-2.000000;0.000000;-0.500000;-0.847105;0.488903;0.208294;0.864906;2.593214
neutron;-2.000000;0.000000;0.000000;-0.847105;0.488903;0.208294;0.864906;2.593214
neutron;-2.000000;0.000000;0.500000;-0.847105;0.488903;0.208294;0.864906;2.593214
neutron;-2.000000;0.000000;1.000000;-0.847105;0.488903;0.208294;0.864906;2.593214
neutron;-2.000000;0.500000;-0.500000;-0.847105;0.488903;0.208294;1.219961;2.593214
neutron;-2.000000;0.500000;0.000000;-0.847105;0.488903;0.208294;1.887605;2.593214
neutron;-2.000000;0.500000;0.500000;-0.847105;0.488903;0.208294;1.887605;2.593214
neutron;-2.000000;0.500000;1.000000;-0.847105;0.488903;0.208294;1.887605;2.593214
neutron;-2.000000;0.500000;1.500000;-0.847105;0.488903;0.208294;0.667644;3.406521
neutron;-2.000000;1.000000;-0.500000;-0.847105;0.488903;0.208294;1.219961;2.593214
neutron;-2.000000;1.000000;0.000000;-0.847105;0.488903;0.208294;2.360981;2.593214
neutron;-2.000000;1.000000;0.500000;-0.847105;0.488903;0.208294;2.360981;2.593214
neutron;-2.000000;1.000000;1.000000;-0.847105;0.488903;0.208294;2.360981;2.593214
neutron;-2.000000;1.000000;1.500000;-0.847105;0.488903;0.208294;1.141020;3.406521
neutron;-2.000000;1.500000;-0.500000;-0.847105;0.488903;0.208294;1.219961;2.593214
neutron;-2.000000;1.500000;0.000000;-0.847105;0.488903;0.208294;2.360981;2.593214
neutron;-2.000000;1.500000;0.500000;-0.847105;0.488903;0.208294;2.360981;2.593214
neutron;-2.000000;1.500000;1.000000;-0.847105;0.488903;0.208294;2.360981;2.593214
neutron;-2.000000;1.500000;1.500000;-0.847105;0.488903;0.208294;1.141020;3.406521
neutron;-2.000000;2.000000;-0.500000;-0.847105;0.488903;0.208294;0.355055;3.169818
neutron;-2.000000;2.000000;0.000000;-0.847105;0.488903;0.208294;1.496075;3.169818
neutron;-2.000000;2.000000;0.500000;-0.847105;0.488903;0.208294;1.496075;3.169818
neutron;-2.000000;2.000000;1.000000;-0.847105;0.488903;0.208294;1.496075;3.169818
neutron;-2.000000;2.000000;1.500000;-0.847105;0.488903;0.208294;1.141020;3.406521
neutron;-2.000000;2.500000;0.000000;-0.847105;0.488903;0.208294;0.473376;3.851617
neutron;-2.000000;2.500000;0.500000;-0.847105;0.488903;0.208294;0.473376;3.851617
neutron;-2.000000;2.500000;1.000000;-0.847105;0.488903;0.208294;0.473376;3.851617
neutron;-2.000000;2.500000;1.500000;-0.847105;0.488903;0.208294;0.473376;3.851617
neutron;-1.500000;0.000000;-0.500000;-0.847105;0.488903;0.208294;1.455152;2.199717
neutron;-1.500000;0.000000;0.000000;-0.847105;0.488903;0.208294;1.455152;2.199717
neutron;-1.500000;0.000000;0.500000;-0.847105;0.488903;0.208294;1.455152;2.199717
neutron;-1.500000;0.000000;1.000000;-0.847105;0.488903;0.208294;1.455152;2.199717
neutron;-1.500000;0.500000;-0.500000;-0.847105;0.488903;0.208294;1.810206;2.199717
neutron;-1.500000;0.500000;0.000000;-0.847105;0.488903;0.208294;2.360981;2.199717
neutron;-1.500000;0.500000;0.500000;-0.847105;0.488903;0.208294;2.360981;2.199717
neutron;-1.500000;0.500000;1.000000;-0.847105;0.488903;0.208294;2.360981;2.199717
neutron;-1.500000;0.500000;1.500000;-0.847105;0.488903;0.208294;0.550775;3.406521
neutron;-1.500000;1.000000;-0.500000;-0.847105;0.488903;0.208294;1.810206;2.199717
neutron;-1.500000;1.000000;0.000000;-0.847105;0.488903;0.208294;2.360981;2.199717
neutron;-1.500000;1.000000;0.500000;-0.847105;0.488903;0.208294;2.360981;2.199717
neutron;-1.500000;1.000000;1.000000;-0.847105;0.488903;0.208294;2.360981;2.199717
neutron;-1.500000;1.000000;1.500000;-0.847105;0.488903;0.208294;0.550775;3.406521
neutron;-1.500000;1.500000;-0.500000;-0.847105;0.488903;0.208294;1.377753;2.488019
neutron;-1.500000;1.500000;0.000000;-0.847105;0.488903;0.208294;1.928528;2.488019
neutron;-1.500000;1.500000;0.500000;-0.847105;0.488903;0.208294;1.928528;2.488019
neutron;-1.500000;1.500000;1.000000;-0.847105;0.488903;0.208294;1.928528;2.488019
neutron;-1.500000;1.500000;1.500000;-0.847105;0.488903;0.208294;0.550775;3.406521
neutron;-1.500000;2.000000;-0.500000;-0.847105;0.488903;0.208294;0.355055;3.169818
neutron;-1.500000;2.000000;0.000000;-0.847105;0.488903;0.208294;0.905830;3.169818
neutron;-1.500000;2.000000;0.500000;-0.847105;0.488903;0.208294;0.905830;3.169818
neutron;-1.500000;2.000000;1.000000;-0.847105;0.488903;0.208294;0.905830;3.169818
neutron;-1.500000;2.000000;1.500000;-0.847105;0.488903;0.208294;0.550775;3.406521
neutron;-1.000000;0.000000;-0.500000;-0.847105;0.488903;0.208294;2.045397;1.806220
neutron;-1.000000;0.000000;0.000000;-0.847105;0.488903;0.208294;2.045397;1.806220
neutron;-1.000000;0.000000;0.500000;-0.847105;0.488903;0.208294;2.045397;1.806220
neutron;-1.000000;0.000000;1.000000;-0.847105;0.488903;0.208294;2.045397;1.806220
neutron;-1.000000;0.500000;-0.500000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;0.500000;0.000000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;0.500000;0.500000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;0.500000;1.000000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;1.000000;-0.500000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;1.000000;0.000000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;1.000000;0.500000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;1.000000;1.000000;-0.847105;0.488903;0.208294;2.360981;1.806220
neutron;-1.000000;1.500000;-0.500000;-0.847105;0.488903;0.208294;1.338283;2.488019
neutron;-1.000000;1.500000;0.000000;-0.847105;0.488903;0.208294;1.338283;2.488019
neutron;-1.000000;1.500000;0.500000;-0.847105;0.488903;0.208294;1.338283;2.488019
neutron;-1.000000;1.500000;1.000000;-0.847105;0.488903;0.208294;1.338283;2.488019
neutron;-1.000000;2.000000;-0.500000;-0.847105;0.488903;0.208294;0.315584;3.169818
neutron;-1.000000;2.000000;0.000000;-0.847105;0.488903;0.208294;0.315584;3.169818
neutron;-1.000000;2.000000;0.500000;-0.847105;0.488903;0.208294;0.315584;3.169818
neutron;-1.000000;2.000000;1.000000;-0.847105;0.488903;0.208294;0.315584;3.169818
neutron;-0.500000;0.000000;1.000000;-0.847105;0.488903;0.208294;1.770736;1.806220
neutron;-0.500000;0.500000;1.000000;-0.847105;0.488903;0.208294;1.770736;1.806220
neutron;-0.500000;1.000000;-0.500000;-0.847105;0.488903;0.208294;1.770736;1.806220
neutron;-0.500000;1.000000;0.000000;-0.847105;0.488903;0.208294;1.770736;1.806220
neutron;-0.500000;1.000000;0.500000;-0.847105;0.488903;0.208294;1.770736;1.806220
neutron;-0.500000;1.000000;1.000000;-0.847105;0.488903;0.208294;1.770736;1.806220
neutron;-0.500000;1.500000;-0.500000;-0.847105;0.488903;0.208294;0.748037;2.488019
neutron;-0.500000;1.500000;0.000000;-0.847105;0.488903;0.208294;0.748037;2.488019
neutron;-0.500000;1.500000;0.500000;-0.847105;0.488903;0.208294;0.748037;2.488019
neutron;-0.500000;1.500000;1.000000;-0.847105;0.488903;0.208294;0.748037;2.488019
neutron;0.000000;0.000000;1.000000;-0.847105;0.488903;0.208294;1.180491;1.806220
neutron;0.000000;0.500000;1.000000;-0.847105;0.488903;0.208294;1.180491;1.806220
neutron;0.000000;1.000000;-0.500000;-0.847105;0.488903;0.208294;1.180491;1.806220
neutron;0.000000;1.000000;0.000000;-0.847105;0.488903;0.208294;1.180491;1.806220
neutron;0.000000;1.000000;0.500000;-0.847105;0.488903;0.208294;1.180491;1.806220
neutron;0.000000;1.000000;1.000000;-0.847105;0.488903;0.208294;1.180491;1.806220
neutron;0.000000;1.500000;-0.500000;-0.847105;0.488903;0.208294;0.157792;2.488019
neutron;0.000000;1.500000;0.000000;-0.847105;0.488903;0.208294;0.157792;2.488019
neutron;0.000000;1.500000;0.500000;-0.847105;0.488903;0.208294;0.157792;2.488019
neutron;0.000000;1.500000;1.000000;-0.847105;0.488903;0.208294;0.157792;2.488019
neutron;0.500000;0.000000;1.000000;-0.847105;0.488903;0.208294;0.590245;1.806220
neutron;0.500000;0.500000;1.000000;-0.847105;0.488903;0.208294;0.590245;1.806220
neutron;0.500000;1.000000;-0.500000;-0.847105;0.488903;0.208294;0.590245;1.806220
neutron;0.500000;1.000000;0.000000;-0.847105;0.488903;0.208294;0.590245;1.806220
neutron;0.500000;1.000000;0.500000;-0.847105;0.488903;0.208294;0.590245;1.806220
