Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-1.500000;0.000000;-0.500000;0.656893;neutron;0.178606
-1.500000;0.000000;-0.500000;2.199717;neutron;1.455152
-1.500000;0.000000;-0.500000;6.961295;neutron;0.094484
-1.500000;0.000000;-0.500000;8.128246;neutron;1.847219
-1.500000;0.000000;-0.500000;6.577277;alpha;2.245834
-1.500000;0.000000;-0.500000;4.620220;alpha;0.326470
-1.500000;0.000000;-0.500000;0.578195;alpha;1.216386
-1.500000;0.000000;0.000000;0.656893;neutron;0.178606
-1.500000;0.000000;0.000000;2.199717;neutron;1.455152
-1.500000;0.000000;0.000000;6.961295;neutron;0.094484
-1.500000;0.000000;0.000000;8.128246;neutron;1.400052
-1.500000;0.000000;0.000000;6.577277;alpha;2.245834
-1.500000;0.000000;0.000000;4.620220;alpha;0.326470
-1.500000;0.000000;0.000000;0.578195;alpha;0.644884
-1.500000;0.000000;0.500000;0.656893;neutron;0.178606
-1.500000;0.000000;0.500000;2.199717;neutron;1.455152
-1.500000;0.000000;0.500000;6.961295;neutron;0.094484
-1.500000;0.000000;0.500000;8.128246;neutron;0.377294
-1.500000;0.000000;0.500000;6.577277;alpha;0.861362
-1.500000;0.000000;0.500000;4.620220;alpha;0.326470
-1.500000;0.000000;1.000000;0.656893;neutron;0.178606
-1.500000;0.000000;1.000000;2.199717;neutron;1.455152
-1.500000;0.000000;1.000000;6.961295;neutron;0.094484
-1.000000;0.000000;-0.500000;0.000000;neutron;1.163946
-1.000000;0.000000;-0.500000;1.806220;neutron;2.045397
-1.000000;0.000000;-0.500000;6.256736;neutron;1.151323
-1.000000;0.000000;-0.500000;6.146274;neutron;1.538817
-1.000000;0.000000;-0.500000;0.000000;neutron;1.440663
-1.000000;0.000000;-0.500000;7.697937;neutron;2.492683
-1.000000;0.000000;-0.500000;6.202971;alpha;2.245834
-1.000000;0.000000;-0.500000;4.029930;alpha;1.211906
-1.000000;0.000000;-0.500000;0.000000;alpha;2.083678
-1.000000;0.000000;0.000000;0.000000;neutron;1.163946
-1.000000;0.000000;0.000000;1.806220;neutron;2.045397
-1.000000;0.000000;0.000000;6.256736;neutron;1.151323
-1.000000;0.000000;0.000000;6.146274;neutron;1.025878
-1.000000;0.000000;0.000000;0.000000;neutron;1.402229
-1.000000;0.000000;0.000000;7.697937;neutron;2.045516
-1.000000;0.000000;0.000000;6.202971;alpha;2.245834
-1.000000;0.000000;0.000000;4.029930;alpha;1.211906
-1.000000;0.000000;0.000000;0.000000;alpha;1.512176
-1.000000;0.000000;0.500000;0.000000;neutron;1.163946
-1.000000;0.000000;0.500000;1.806220;neutron;2.045397
-1.000000;0.000000;0.500000;6.256736;neutron;1.151323
-1.000000;0.000000;0.500000;6.146274;neutron;0.512939
-1.000000;0.000000;0.500000;0.000000;neutron;0.701115
-1.000000;0.000000;0.500000;7.697937;neutron;1.022758
-1.000000;0.000000;0.500000;6.202971;alpha;1.422821
-1.000000;0.000000;0.500000;4.029930;alpha;1.211906
-1.000000;0.000000;0.500000;0.000000;alpha;0.756088
-1.000000;0.000000;1.000000;0.000000;neutron;1.163946
-1.000000;0.000000;1.000000;1.806220;neutron;2.045397
-1.000000;0.000000;1.000000;6.256736;neutron;1.151323
