Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-0.250000;-0.250000;1.250000;0.920620;-0.164511;0.354112;0.108677;0.470661
neutron;-0.250000;0.250000;1.250000;0.920620;-0.164511;0.354112;0.108677;0.470661
neutron;-0.250000;0.750000;1.250000;0.920620;-0.164511;0.354112;0.108677;0.470661
neutron;0.250000;-0.250000;1.250000;0.920620;-0.164511;0.354112;0.651789;0.470661
neutron;0.250000;0.250000;1.250000;0.920620;-0.164511;0.354112;0.651789;0.470661
neutron;0.250000;0.750000;1.250000;0.920620;-0.164511;0.354112;0.651789;0.470661
neutron;0.750000;-0.250000;1.250000;0.920620;-0.164511;0.354112;1.194901;0.470661
neutron;0.750000;0.250000;1.250000;0.920620;-0.164511;0.354112;1.194901;0.470661
neutron;0.750000;0.750000;1.250000;0.920620;-0.164511;0.354112;0.813660;0.470661
neutron;1.250000;-0.250000;-0.750000;0.920620;-0.164511;0.354112;0.434436;0.181037
neutron;1.250000;-0.250000;-0.250000;0.920620;-0.164511;0.354112;1.846419;0.181037
neutron;1.250000;-0.250000;0.250000;0.920620;-0.164511;0.354112;2.172449;0.181037
neutron;1.250000;-0.250000;0.750000;0.920620;-0.164511;0.354112;2.172449;0.181037
neutron;1.250000;-0.250000;1.250000;0.920620;-0.164511;0.354112;1.738014;0.470661
neutron;1.250000;0.250000;-0.750000;0.920620;-0.164511;0.354112;0.434436;0.181037
neutron;1.250000;0.250000;-0.250000;0.920620;-0.164511;0.354112;1.846419;0.181037
neutron;1.250000;0.250000;0.250000;0.920620;-0.164511;0.354112;2.172449;0.181037
neutron;1.250000;0.250000;0.750000;0.920620;-0.164511;0.354112;2.172449;0.181037
neutron;1.250000;0.250000;1.250000;0.920620;-0.164511;0.354112;1.738014;0.470661
neutron;1.250000;0.750000;-0.750000;0.920620;-0.164511;0.354112;0.434436;0.181037
neutron;1.250000;0.750000;-0.250000;0.920620;-0.164511;0.354112;1.248095;0.181037
neutron;1.250000;0.750000;0.250000;0.920620;-0.164511;0.354112;1.248095;0.181037
neutron;1.250000;0.750000;0.750000;0.920620;-0.164511;0.354112;1.248095;0.181037
neutron;1.250000;0.750000;1.250000;0.920620;-0.164511;0.354112;0.813660;0.470661
neutron;-1.250000;-0.250000;-0.250000;-0.579376;-0.340787;0.740396;0.581472;3.495228
neutron;-1.250000;-0.250000;0.250000;-0.579376;-0.340787;0.740396;1.256786;3.495228
neutron;-1.250000;-0.250000;0.750000;-0.579376;-0.340787;0.740396;1.932100;3.495228
neutron;-1.250000;-0.250000;1.250000;-0.579376;-0.340787;0.740396;2.607414;3.495228
neutron;-1.250000;0.250000;-0.250000;-0.579376;-0.340787;0.740396;0.581472;3.495228
neutron;-1.250000;0.250000;0.250000;-0.579376;-0.340787;0.740396;1.256786;3.495228
neutron;-1.250000;0.250000;0.750000;-0.579376;-0.340787;0.740396;1.769287;3.495228
neutron;-1.250000;0.250000;1.250000;-0.579376;-0.340787;0.740396;1.769287;3.495228
neutron;-1.250000;0.750000;-0.250000;-0.579376;-0.340787;0.740396;0.302097;3.495228
neutron;-1.250000;0.750000;0.250000;-0.579376;-0.340787;0.740396;0.302097;3.495228
neutron;-1.250000;0.750000;0.750000;-0.579376;-0.340787;0.740396;0.302097;3.495228
neutron;-1.250000;0.750000;1.250000;-0.579376;-0.340787;0.740396;0.302097;3.495228
neutron;-0.750000;-0.250000;1.250000;-0.579376;-0.340787;0.740396;2.682832;3.432667
neutron;-0.750000;0.250000;1.250000;-0.579376;-0.340787;0.740396;1.863128;3.432667
neutron;-0.750000;0.750000;1.250000;-0.579376;-0.340787;0.740396;0.395938;3.432667
neutron;-0.250000;-0.250000;1.250000;-0.579376;-0.340787;0.740396;1.819835;3.432667
neutron;-0.250000;0.250000;1.250000;-0.579376;-0.340787;0.740396;1.819835;3.432667
neutron;-0.250000;0.750000;1.250000;-0.579376;-0.340787;0.740396;0.395938;3.432667
neutron;0.250000;-0.250000;1.250000;-0.579376;-0.340787;0.740396;0.956838;3.432667
neutron;0.250000;0.250000;1.250000;-0.579376;-0.340787;0.740396;0.956838;3.432667
neutron;0.250000;0.750000;1.250000;-0.579376;-0.340787;0.740396;0.395938;3.432667
neutron;0.750000;-0.250000;1.250000;-0.579376;-0.340787;0.740396;0.093841;3.432667
neutron;0.750000;0.250000;1.250000;-0.579376;-0.340787;0.740396;0.093841;3.432667
neutron;0.750000;0.750000;1.250000;-0.579376;-0.340787;0.740396;0.093841;3.432667
neutron;-1.250000;-0.250000;-0.750000;-0.459740;-0.810369;0.363239;0.144467;1.470519
neutron;-1.250000;-0.250000;-0.250000;-0.459740;-0.810369;0.363239;0.998722;1.470519
neutron;-1.250000;-0.250000;0.250000;-0.459740;-0.810369;0.363239;0.998722;1.470519
neutron;-1.250000;-0.250000;0.750000;-0.459740;-0.810369;0.363239;0.998722;1.470519
neutron;-1.250000;-0.250000;1.250000;-0.459740;-0.810369;0.363239;0.854255;1.566830
neutron;-1.250000;0.250000;-0.750000;-0.459740;-0.810369;0.363239;0.144467;1.470519
neutron;-1.250000;0.250000;-0.250000;-0.459740;-0.810369;0.363239;0.381719;1.470519
neutron;-1.250000;0.250000;0.250000;-0.459740;-0.810369;0.363239;0.381719;1.470519
neutron;-1.250000;0.250000;0.750000;-0.459740;-0.810369;0.363239;0.381719;1.470519
neutron;-1.250000;0.250000;1.250000;-0.459740;-0.810369;0.363239;0.237252;1.566830
neutron;-0.750000;-0.250000;1.250000;-0.459740;-0.810369;0.363239;0.854255;1.566830
neutron;-0.750000;0.250000;1.250000;-0.459740;-0.810369;0.363239;0.237252;1.566830
neutron;-0.250000;-0.250000;1.250000;-0.459740;-0.810369;0.363239;0.854255;1.566830
neutron;-0.250000;0.250000;1.250000;-0.459740;-0.810369;0.363239;0.237252;1.566830
neutron;0.250000;-0.250000;1.250000;-0.459740;-0.810369;0.363239;0.854255;1.566830
neutron;0.250000;0.250000;1.250000;-0.459740;-0.810369;0.363239;0.237252;1.566830
neutron;-1.250000;-0.250000;-1.250000;-0.486134;0.184603;-0.854163;2.119896;0.342841
neutron;-1.250000;-0.250000;-0.750000;-0.486134;0.184603;-0.854163;1.534527;0.342841
neutron;-1.250000;-0.250000;-0.250000;-0.486134;0.184603;-0.854163;0.949159;0.342841
neutron;-1.250000;-0.250000;0.250000;-0.486134;0.184603;-0.854163;0.363791;0.342841
neutron;-1.250000;0.250000;-1.250000;-0.486134;0.184603;-0.854163;2.119896;0.342841
neutron;-1.250000;0.250000;-0.750000;-0.486134;0.184603;-0.854163;1.534527;0.342841
neutron;-1.250000;0.250000;-0.250000;-0.486134;0.184603;-0.854163;0.949159;0.342841
