Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-0.250000;-0.250000;1.250000;0.470661;neutron;0.108677
-0.250000;-0.250000;1.250000;3.432667;neutron;1.819835
-0.250000;-0.250000;1.250000;1.566830;neutron;0.854255
-0.250000;-0.250000;1.250000;0.259498;neutron;1.249201
-0.250000;-0.250000;1.250000;0.246795;neutron;1.519452
-0.250000;-0.250000;1.250000;1.012610;neutron;0.172483
-0.250000;-0.250000;1.250000;7.010930;alpha;0.981667
-0.250000;0.250000;1.250000;0.470661;neutron;0.108677
-0.250000;0.250000;1.250000;3.432667;neutron;1.819835
-0.250000;0.250000;1.250000;1.566830;neutron;0.237252
-0.250000;0.250000;1.250000;0.259498;neutron;1.249201
-0.250000;0.250000;1.250000;0.246795;neutron;0.763594
-0.250000;0.250000;1.250000;7.010930;alpha;0.309787
-0.250000;0.750000;1.250000;0.470661;neutron;0.108677
-0.250000;0.750000;1.250000;3.432667;neutron;0.395938
-0.250000;0.750000;1.250000;0.259498;neutron;1.249201
-0.250000;0.750000;1.250000;0.246795;neutron;0.007736
0.250000;-0.250000;1.250000;0.470661;neutron;0.651789
0.250000;-0.250000;1.250000;3.432667;neutron;0.956838
0.250000;-0.250000;1.250000;1.566830;neutron;0.854255
0.250000;-0.250000;1.250000;0.259498;neutron;0.593822
0.250000;-0.250000;1.250000;0.246795;neutron;1.519452
0.250000;-0.250000;1.250000;7.010930;alpha;0.632118
0.250000;0.250000;1.250000;0.470661;neutron;0.651789
0.250000;0.250000;1.250000;3.432667;neutron;0.956838
0.250000;0.250000;1.250000;1.566830;neutron;0.237252
0.250000;0.250000;1.250000;0.259498;neutron;0.593822
0.250000;0.250000;1.250000;0.246795;neutron;0.763594
0.250000;0.250000;1.250000;7.010930;alpha;0.309787
0.250000;0.750000;1.250000;0.470661;neutron;0.651789
0.250000;0.750000;1.250000;3.432667;neutron;0.395938
0.250000;0.750000;1.250000;0.259498;neutron;0.593822
0.250000;0.750000;1.250000;0.246795;neutron;0.007736
0.750000;-0.250000;1.250000;0.470661;neutron;1.194901
0.750000;-0.250000;1.250000;3.432667;neutron;0.093841
0.750000;-0.250000;1.250000;0.246795;neutron;1.519452
0.750000;0.250000;1.250000;0.470661;neutron;1.194901
0.750000;0.250000;1.250000;3.432667;neutron;0.093841
0.750000;0.250000;1.250000;0.246795;neutron;0.763594
0.750000;0.750000;1.250000;0.470661;neutron;0.813660
0.750000;0.750000;1.250000;3.432667;neutron;0.093841
0.750000;0.750000;1.250000;0.246795;neutron;0.007736
1.250000;-0.250000;-0.750000;0.181037;neutron;0.434436
1.250000;-0.250000;-0.750000;0.592539;neutron;0.543182
1.250000;-0.250000;-0.750000;0.466207;neutron;0.651026
1.250000;-0.250000;-0.750000;0.179426;alpha;2.153116
1.250000;-0.250000;-0.750000;0.190122;alpha;2.281460
1.250000;-0.250000;-0.750000;2.356673;alpha;0.549236
1.250000;-0.250000;-0.250000;0.181037;neutron;1.846419
1.250000;-0.250000;-0.250000;0.511057;neutron;0.343994
1.250000;-0.250000;-0.250000;0.592539;neutron;0.543182
1.250000;-0.250000;-0.250000;0.466207;neutron;0.651026
1.250000;-0.250000;-0.250000;0.179426;alpha;2.153116
1.250000;-0.250000;-0.250000;0.190122;alpha;2.281460
1.250000;-0.250000;-0.250000;2.356673;alpha;0.549236
1.250000;-0.250000;0.250000;0.181037;neutron;2.172449
1.250000;-0.250000;0.250000;0.511057;neutron;1.084379
1.250000;-0.250000;0.250000;0.592539;neutron;0.043914
1.250000;-0.250000;0.250000;0.466207;neutron;0.651026
1.250000;-0.250000;0.250000;0.179426;alpha;2.153116
1.250000;-0.250000;0.250000;0.190122;alpha;1.559494
1.250000;-0.250000;0.250000;2.356673;alpha;0.549236
1.250000;-0.250000;0.750000;0.181037;neutron;2.172449
1.250000;-0.250000;0.750000;0.511057;neutron;1.123060
1.250000;-0.250000;0.750000;0.466207;neutron;0.651026
1.250000;-0.250000;0.750000;0.179426;alpha;2.153116
1.250000;-0.250000;0.750000;0.190122;alpha;0.329710
1.250000;-0.250000;0.750000;2.356673;alpha;0.044280
1.250000;-0.250000;1.250000;0.470661;neutron;1.738014
1.250000;-0.250000;1.250000;0.511057;neutron;1.123060
1.250000;0.250000;-0.750000;0.181037;neutron;0.434436
1.250000;0.250000;-0.750000;0.592539;neutron;1.287544
1.250000;0.250000;-0.750000;0.466207;neutron;0.110891
1.250000;0.250000;-0.750000;0.179426;alpha;1.799367
1.250000;0.250000;-0.750000;0.190122;alpha;2.281460
1.250000;0.250000;-0.750000;2.356673;alpha;1.242080
1.250000;0.250000;-0.250000;0.181037;neutron;1.846419
1.250000;0.250000;-0.250000;0.511057;neutron;0.343994
1.250000;0.250000;-0.250000;0.592539;neutron;0.665729
1.250000;0.250000;-0.250000;0.466207;neutron;0.110891
1.250000;0.250000;-0.250000;0.179426;alpha;1.799367
1.250000;0.250000;-0.250000;0.190122;alpha;2.281460
1.250000;0.250000;-0.250000;2.356673;alpha;1.242080
1.250000;0.250000;0.250000;0.181037;neutron;2.172449
1.250000;0.250000;0.250000;0.511057;neutron;0.367202
1.250000;0.250000;0.250000;0.592539;neutron;0.043914
1.250000;0.250000;0.250000;0.466207;neutron;0.110891
1.250000;0.250000;0.250000;0.179426;alpha;1.799367
1.250000;0.250000;0.250000;0.190122;alpha;1.559494
1.250000;0.250000;0.250000;2.356673;alpha;1.112898
1.250000;0.250000;0.750000;0.181037;neutron;2.172449
1.250000;0.250000;0.750000;0.511057;neutron;0.367202
1.250000;0.250000;0.750000;0.466207;neutron;0.110891
1.250000;0.250000;0.750000;0.179426;alpha;1.799367
1.250000;0.250000;0.750000;0.190122;alpha;0.329710
1.250000;0.250000;0.750000;2.356673;alpha;0.044280
1.250000;0.250000;1.250000;0.470661;neutron;1.738014
1.250000;0.250000;1.250000;0.511057;neutron;0.367202
1.250000;0.750000;-0.750000;0.181037;neutron;0.434436
1.250000;0.750000;-0.750000;0.592539;neutron;1.287544
1.250000;0.750000;-0.750000;0.179426;alpha;0.420363
1.250000;0.750000;-0.750000;0.190122;alpha;0.686371
1.250000;0.750000;-0.750000;2.356673;alpha;1.934924
1.250000;0.750000;-0.250000;0.181037;neutron;1.248095
1.250000;0.750000;-0.250000;0.592539;neutron;0.665729
1.250000;0.750000;-0.250000;0.179426;alpha;0.420363
1.250000;0.750000;-0.250000;0.190122;alpha;0.686371
1.250000;0.750000;-0.250000;2.356673;alpha;1.934924
1.250000;0.750000;0.250000;0.181037;neutron;1.248095
1.250000;0.750000;0.250000;0.592539;neutron;0.043914
1.250000;0.750000;0.250000;0.179426;alpha;0.420363
1.250000;0.750000;0.250000;0.190122;alpha;0.686371
1.250000;0.750000;0.250000;2.356673;alpha;1.112898
1.250000;0.750000;0.750000;0.181037;neutron;1.248095
1.250000;0.750000;0.750000;0.179426;alpha;0.420363
1.250000;0.750000;0.750000;0.190122;alpha;0.329710
1.250000;0.750000;0.750000;2.356673;alpha;0.044280
1.250000;0.750000;1.250000;0.470661;neutron;0.813660
-1.250000;-0.250000;-0.250000;3.495228;neutron;0.581472
-1.250000;-0.250000;-0.250000;1.470519;neutron;0.998722
-1.250000;-0.250000;-0.250000;0.342841;neutron;0.949159
-1.250000;-0.250000;-0.250000;0.218460;neutron;0.840050
-1.250000;-0.250000;-0.250000;0.255134;neutron;1.308697
-1.250000;-0.250000;-0.250000;6.841165;alpha;1.236315
-1.250000;-0.250000;0.250000;3.495228;neutron;1.256786
-1.250000;-0.250000;0.250000;1.470519;neutron;0.998722
-1.250000;-0.250000;0.250000;0.342841;neutron;0.363791
-1.250000;-0.250000;0.250000;0.218460;neutron;1.618543
-1.250000;-0.250000;0.250000;0.255134;neutron;1.308697
-1.250000;-0.250000;0.250000;6.841165;alpha;1.236315
-1.250000;-0.250000;0.750000;3.495228;neutron;1.932100
-1.250000;-0.250000;0.750000;1.470519;neutron;0.998722
-1.250000;-0.250000;0.750000;0.218460;neutron;2.397036
-1.250000;-0.250000;0.750000;0.255134;neutron;1.308697
-1.250000;-0.250000;0.750000;6.841165;alpha;1.236315
-1.250000;-0.250000;1.250000;3.495228;neutron;2.607414
-1.250000;-0.250000;1.250000;1.566830;neutron;0.854255
-1.250000;-0.250000;1.250000;0.259498;neutron;2.559960
-1.250000;-0.250000;1.250000;1.012610;neutron;0.172483
-1.250000;-0.250000;1.250000;7.010930;alpha;0.981667
-1.250000;0.250000;-0.250000;3.495228;neutron;0.581472
-1.250000;0.250000;-0.250000;1.470519;neutron;0.381719
-1.250000;0.250000;-0.250000;0.342841;neutron;0.949159
-1.250000;0.250000;-0.250000;0.218460;neutron;0.840050
-1.250000;0.250000;-0.250000;0.255134;neutron;0.632138
-1.250000;0.250000;-0.250000;6.841165;alpha;0.564436
-1.250000;0.250000;0.250000;3.495228;neutron;1.256786
