Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
0.210530;-0.055291;0.000000;40.978843;neutron;0.105689
0.310530;-0.055291;0.000000;41.084532;neutron;0.050571
0.198026;0.071974;0.000000;45.567561;alpha;0.052825
0.198026;0.171974;0.000000;45.620386;alpha;0.067095
0.119234;0.087144;0.000000;75.555452;alpha;0.091975
0.119234;0.187144;0.000000;75.647428;alpha;0.051867
0.219234;0.187144;0.000000;75.699295;alpha;0.087813
0.219234;0.287144;0.000000;75.787109;alpha;0.056029
0.319234;0.287144;0.000000;75.843138;alpha;0.083652
0.319234;0.387144;0.000000;75.926790;alpha;0.060191
0.419234;0.387144;0.000000;75.986981;alpha;0.079490
0.419234;0.487144;0.000000;76.066471;alpha;0.064353
0.519234;0.487144;0.000000;76.130824;alpha;0.075328
0.098353;0.108678;0.000000;78.517837;alpha;0.119960
0.198353;0.208678;0.000000;78.664104;alpha;0.112407
0.298353;0.308678;0.000000;78.810371;alpha;0.062329
0.072331;0.197849;0.000000;112.126440;neutron;0.087401
0.267841;0.200050;0.000000;113.666004;alpha;0.123390
0.367841;0.300050;0.000000;113.827301;alpha;0.085483
0.467841;0.300050;0.000000;113.912784;alpha;0.086518
0.112398;0.222892;0.000000;125.391339;neutron;0.111339
-0.040497;0.237862;0.000000;134.001118;neutron;0.101165
-0.060094;0.241850;0.000000;140.484447;neutron;0.105788
-0.060094;0.341850;0.000000;140.590235;neutron;0.061202
0.015212;0.245729;0.000000;144.161268;alpha;0.101806
0.115212;0.345729;0.000000;144.310024;alpha;0.054857
0.115212;0.445729;0.000000;144.364880;alpha;0.101806
0.115212;0.545729;0.000000;144.466686;alpha;0.101806
0.115212;0.645729;0.000000;144.568493;alpha;0.101806
0.115212;0.745729;0.000000;144.670299;alpha;0.101806
-0.006905;0.224743;0.000000;188.316401;alpha;0.101406
-0.006905;0.324743;0.000000;188.417807;alpha;0.050380
-0.189363;0.388982;0.000000;208.773885;alpha;0.073003
-0.089363;0.188982;0.000000;208.551349;alpha;0.111268
-0.089363;0.288982;0.000000;208.662617;alpha;0.062623
-0.023679;0.168449;0.000000;215.705015;alpha;0.100467
-0.023679;0.268449;0.000000;215.805482;alpha;0.100467
-0.023679;0.368449;0.000000;215.905948;alpha;0.100467
-0.023679;0.468449;0.000000;216.006415;alpha;0.100467
-0.260181;0.342158;0.000000;223.415020;alpha;0.058765
-0.260181;0.442158;0.000000;223.473785;alpha;0.117725
-0.160181;0.242158;0.000000;223.238336;alpha;0.117725
-0.160181;0.342158;0.000000;223.356061;alpha;0.058959
-0.060181;0.142158;0.000000;223.120612;alpha;0.102716
-0.086850;0.119503;0.000000;232.177291;alpha;0.097634
-0.604896;0.302205;0.000000;236.408189;neutron;0.111651
-0.504896;0.202205;0.000000;236.296538;neutron;0.062487
-0.404896;0.202205;0.000000;236.184886;neutron;0.111651
-0.304896;0.102205;0.000000;236.073235;neutron;0.059631
-0.304896;0.202205;0.000000;236.132866;neutron;0.052020
-0.204896;0.102205;0.000000;235.961583;neutron;0.111651
-0.104896;0.102205;0.000000;235.906706;neutron;0.054877
-0.138285;0.365015;0.000000;245.126028;neutron;0.093523
-0.138285;0.465015;0.000000;245.219551;neutron;0.103887
-0.138285;0.565015;0.000000;245.323438;neutron;0.103887
-0.447559;0.053227;0.000000;249.403217;alpha;0.054272
-0.347559;0.053227;0.000000;249.300147;alpha;0.103069
-0.247559;0.053227;0.000000;249.197078;alpha;0.103069
-0.147559;0.053227;0.000000;249.094008;alpha;0.103069
-0.165027;0.128842;0.000000;254.445645;alpha;0.093760
-0.725923;0.203287;0.000000;281.099122;alpha;0.103441
-0.625923;0.203287;0.000000;281.000025;alpha;0.099096
-0.525923;0.103287;0.000000;280.892239;alpha;0.103441
-0.425923;0.103287;0.000000;280.788797;alpha;0.103441
-0.325923;0.103287;0.000000;280.685356;alpha;0.103441
-0.225923;0.103287;0.000000;280.608546;alpha;0.076810
-0.449798;-0.264202;0.000000;316.859173;alpha;0.117059
-0.349798;-0.264202;0.000000;316.807850;alpha;0.051323
-0.349798;-0.164202;0.000000;316.742114;alpha;0.065736
-0.249798;-0.164202;0.000000;316.625055;alpha;0.117059
-0.423279;-0.211268;0.000000;344.127674;alpha;0.107284
-0.323279;-0.111268;0.000000;344.016632;alpha;0.076852
-0.223279;-0.111268;0.000000;343.905589;alpha;0.111042
-0.316451;0.069935;0.000000;350.743143;alpha;0.103610
-0.216451;0.069935;0.000000;350.637524;alpha;0.105618
-0.202714;-0.462249;0.000000;360.203779;neutron;0.072914
-0.116387;-0.190236;0.000000;391.840057;neutron;0.092990
-0.606016;-0.101073;0.000000;393.506202;neutron;0.055612
-0.506016;-0.101073;0.000000;393.403006;neutron;0.103197
-0.406016;-0.101073;0.000000;393.299809;neutron;0.103197
-0.306016;-0.101073;0.000000;393.196612;neutron;0.103197
-0.206016;-0.101073;0.000000;393.145194;neutron;0.051419
-0.188025;-0.618428;0.000000;395.381527;neutron;0.106001
-0.188025;-0.518428;0.000000;395.275526;neutron;0.106001
-0.188025;-0.418428;0.000000;395.195920;neutron;0.079607
-0.088025;-0.318428;0.000000;395.063525;neutron;0.106001
-0.088025;-0.218428;0.000000;394.957525;neutron;0.106001
-0.088025;-0.118428;0.000000;394.893852;neutron;0.063673
-0.249555;-0.250333;0.000000;408.787564;alpha;0.134860
-0.149555;-0.150333;0.000000;408.644018;alpha;0.137386
0.004870;-0.285788;0.000000;419.837158;alpha;0.055651
0.004870;-0.185788;0.000000;419.734876;alpha;0.102282
0.031442;-0.199703;0.000000;427.267323;neutron;0.065760
-0.103666;-0.525801;0.000000;443.043921;alpha;0.091359
-0.103666;-0.425801;0.000000;442.941898;alpha;0.102023
-0.103666;-0.325801;0.000000;442.859635;alpha;0.082262
-0.003666;-0.225801;0.000000;442.737851;alpha;0.102023
-0.284517;-0.231565;0.000000;445.912714;neutron;0.128924
0.106149;-0.324992;0.000000;504.453853;alpha;0.076441
0.106149;-0.224992;0.000000;504.345340;alpha;0.108513
0.015617;-0.321774;0.000000;503.604809;neutron;0.056162
0.015617;-0.221774;0.000000;503.501750;neutron;0.103059
-0.006955;-0.186954;0.000000;520.924468;neutron;0.053391
0.110325;-0.176885;0.000000;523.567965;neutron;0.110038
0.210325;-0.276885;0.000000;523.693361;neutron;0.125396
0.310325;-0.376885;0.000000;523.845879;neutron;0.084274
0.335454;-0.160507;0.000000;533.018544;neutron;0.101477
0.435454;-0.160507;0.000000;533.120021;neutron;0.068496
0.158910;-0.037738;0.000000;566.529691;neutron;0.107714
0.258910;-0.137738;0.000000;566.663435;neutron;0.081685
0.358910;-0.137738;0.000000;566.745120;neutron;0.062838
0.227195;-0.199281;0.000000;598.037075;neutron;0.111272
0.327195;-0.299281;0.000000;598.199766;neutron;0.076340
0.327195;-0.199281;0.000000;598.148348;neutron;0.051418
0.248271;-0.291545;0.000000;621.629150;neutron;0.086042
0.249866;0.138408;0.000000;626.578493;neutron;0.102398
0.349866;0.238408;0.000000;626.698666;neutron;0.120172
0.249193;-0.021608;0.000000;633.239454;neutron;0.100212
0.349193;-0.021608;0.000000;633.339666;neutron;0.100212
0.449193;-0.021608;0.000000;633.439878;neutron;0.100212
0.549193;-0.021608;0.000000;633.540089;neutron;0.100212
0.649193;-0.021608;0.000000;633.640301;neutron;0.100212
0.749193;-0.021608;0.000000;633.740512;neutron;0.100212
0.239345;-0.047328;0.000000;647.506297;neutron;0.102150
0.339345;-0.047328;0.000000;647.608447;neutron;0.102150
0.439345;-0.047328;0.000000;647.710597;neutron;0.102150
0.539345;-0.147328;0.000000;647.838285;neutron;0.058138
0.171808;0.218474;0.000000;685.016296;alpha;0.100789
0.171808;0.318474;0.000000;685.117086;alpha;0.080793
0.271808;0.418474;0.000000;685.237012;alpha;0.119926
0.371808;0.518474;0.000000;685.379461;alpha;0.097404
0.154950;0.043284;0.000000;691.678422;alpha;0.104078
0.254950;0.043284;0.000000;691.782500;alpha;0.104078
0.332662;0.215440;0.000000;750.456925;neutron;0.116187
0.432662;0.215440;0.000000;750.573112;neutron;0.078038
-0.105117;0.228549;0.000000;756.355273;alpha;0.068710
-0.105117;0.328549;0.000000;756.423983;alpha;0.103544
-0.105117;0.428549;0.000000;756.527527;alpha;0.103544
-0.105117;0.528549;0.000000;756.631070;alpha;0.103544
0.180463;0.232679;0.000000;759.834174;alpha;0.085706
0.180463;0.332679;0.000000;759.919880;alpha;0.104332
0.280463;0.432679;0.000000;760.037906;alpha;0.118026
0.280463;0.532679;0.000000;760.155932;alpha;0.058318
0.380463;0.532679;0.000000;760.214249;alpha;0.059708
-0.253009;0.249991;0.000000;787.684621;neutron;0.090115
-0.017800;0.245382;0.000000;798.304994;alpha;0.051030
0.082200;0.245382;0.000000;798.356024;alpha;0.050370
0.082200;0.345382;0.000000;798.406394;alpha;0.101400
0.082200;0.445382;0.000000;798.507794;alpha;0.082093
-0.047383;0.240425;0.000000;805.218934;neutron;0.102871
-0.047383;0.340425;0.000000;805.321805;neutron;0.102871
-0.324273;0.618646;0.000000;817.904930;neutron;0.067412
