Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-1.250000;-0.750000;0.000000;1.659189;neutron;1.449259
-1.250000;-0.750000;0.000000;-0.295553;alpha;1.449259
-1.250000;-0.750000;0.000000;1.744135;neutron;1.530712
-1.250000;-0.750000;0.000000;4.266420;alpha;1.530712
-1.250000;-0.750000;0.000000;2.273989;neutron;1.703808
-1.250000;-0.750000;0.000000;0.066046;alpha;1.703808
-1.250000;-0.750000;0.000000;4.902516;neutron;0.198637
-1.250000;-0.750000;0.000000;4.122283;alpha;0.198637
-1.250000;-0.750000;0.000000;5.794984;neutron;2.025154
-1.250000;-0.750000;0.000000;3.263542;alpha;2.025154
-1.250000;-0.750000;0.000000;4.973047;neutron;1.531818
-1.250000;-0.750000;0.000000;7.495516;alpha;1.531818
-1.250000;-0.750000;0.000000;5.695053;neutron;2.000642
-1.250000;-0.750000;0.000000;3.194251;alpha;2.000642
-1.250000;-0.750000;0.000000;7.632640;neutron;0.837571
-1.250000;-0.750000;0.000000;8.983791;alpha;0.837571
-1.250000;-0.750000;0.000000;9.422868;neutron;2.006559
-1.250000;-0.750000;0.000000;11.931067;alpha;2.006559
-1.250000;-0.750000;0.000000;14.205023;neutron;2.331832
-1.250000;-0.750000;0.000000;11.290233;alpha;2.331832
-1.250000;-0.750000;0.000000;13.110060;neutron;1.608919
-1.250000;-0.750000;0.000000;15.650090;alpha;1.608919
-1.250000;-0.750000;0.000000;13.120016;neutron;0.165552
-1.250000;-0.750000;0.000000;12.360244;alpha;0.165552
-1.250000;-0.750000;0.000000;15.003717;neutron;0.175321
-1.250000;-0.750000;0.000000;15.769280;alpha;0.175321
-1.250000;-0.750000;0.000000;17.308692;neutron;0.569726
-1.250000;-0.750000;0.000000;14.302319;alpha;0.569726
-1.250000;-0.750000;0.000000;16.999987;neutron;2.161147
-1.250000;-0.750000;0.000000;14.298554;alpha;2.161147
-1.250000;-0.750000;0.000000;15.534872;neutron;2.261223
-1.250000;-0.750000;0.000000;18.472306;alpha;2.261223
-1.250000;-0.750000;0.000000;17.724682;neutron;2.052702
-1.250000;-0.750000;0.000000;20.290559;alpha;2.052702
-1.250000;-0.750000;0.000000;20.629613;neutron;0.115571
-1.250000;-0.750000;0.000000;19.895599;alpha;0.115571
-1.250000;-0.750000;0.000000;20.689433;neutron;0.596289
-1.250000;-0.750000;0.000000;17.706304;alpha;0.596289
-1.250000;-0.750000;0.000000;24.481716;neutron;2.000430
