Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-0.500000;0.000000;-2.000000;0.010976;0.437779;-0.899015;1.171928;0.935232
neutron;-0.500000;0.000000;-1.500000;0.010976;0.437779;-0.899015;1.728092;0.564456
neutron;-0.500000;0.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;-0.500000;0.500000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;-0.500000;0.500000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;-0.500000;0.500000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;-0.500000;1.000000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;-0.500000;1.000000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;-0.500000;1.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;-0.500000;1.000000;-0.500000;0.010976;0.437779;-0.899015;1.668492;0.193680
neutron;-0.500000;1.000000;0.000000;0.010976;0.437779;-0.899015;1.112328;0.193680
neutron;-0.500000;1.000000;0.500000;0.010976;0.437779;-0.899015;0.556164;0.193680
neutron;-0.500000;1.500000;-2.000000;0.010976;0.437779;-0.899015;2.194856;0.955099
neutron;-0.500000;1.500000;-1.500000;0.010976;0.437779;-0.899015;1.638692;0.955099
neutron;-0.500000;1.500000;-1.000000;0.010976;0.437779;-0.899015;1.082528;0.955099
neutron;-0.500000;1.500000;-0.500000;0.010976;0.437779;-0.899015;0.526364;0.955099
neutron;-0.500000;2.000000;-2.000000;0.010976;0.437779;-0.899015;1.052728;1.716518
neutron;-0.500000;2.000000;-1.500000;0.010976;0.437779;-0.899015;0.496564;1.716518
neutron;0.000000;0.000000;-2.000000;0.010976;0.437779;-0.899015;1.171928;0.935232
neutron;0.000000;0.000000;-1.500000;0.010976;0.437779;-0.899015;1.728092;0.564456
neutron;0.000000;0.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;0.000000;0.500000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;0.000000;0.500000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;0.000000;0.500000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;0.000000;1.000000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;0.000000;1.000000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;0.000000;1.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;0.000000;1.000000;-0.500000;0.010976;0.437779;-0.899015;1.668492;0.193680
neutron;0.000000;1.000000;0.000000;0.010976;0.437779;-0.899015;1.112328;0.193680
neutron;0.000000;1.000000;0.500000;0.010976;0.437779;-0.899015;0.556164;0.193680
neutron;0.000000;1.500000;-2.000000;0.010976;0.437779;-0.899015;2.194856;0.955099
neutron;0.000000;1.500000;-1.500000;0.010976;0.437779;-0.899015;1.638692;0.955099
neutron;0.000000;1.500000;-1.000000;0.010976;0.437779;-0.899015;1.082528;0.955099
neutron;0.000000;1.500000;-0.500000;0.010976;0.437779;-0.899015;0.526364;0.955099
neutron;0.000000;2.000000;-2.000000;0.010976;0.437779;-0.899015;1.052728;1.716518
neutron;0.000000;2.000000;-1.500000;0.010976;0.437779;-0.899015;0.496564;1.716518
neutron;0.500000;0.000000;-2.000000;0.010976;0.437779;-0.899015;1.171928;0.935232
neutron;0.500000;0.000000;-1.500000;0.010976;0.437779;-0.899015;1.728092;0.564456
neutron;0.500000;0.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;0.500000;0.500000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;0.500000;0.500000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;0.500000;0.500000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;0.500000;1.000000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;0.500000;1.000000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;0.500000;1.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;0.500000;1.000000;-0.500000;0.010976;0.437779;-0.899015;1.668492;0.193680
neutron;0.500000;1.000000;0.000000;0.010976;0.437779;-0.899015;1.112328;0.193680
neutron;0.500000;1.000000;0.500000;0.010976;0.437779;-0.899015;0.556164;0.193680
neutron;0.500000;1.500000;-2.000000;0.010976;0.437779;-0.899015;2.194856;0.955099
neutron;0.500000;1.500000;-1.500000;0.010976;0.437779;-0.899015;1.638692;0.955099
neutron;0.500000;1.500000;-1.000000;0.010976;0.437779;-0.899015;1.082528;0.955099
neutron;0.500000;1.500000;-0.500000;0.010976;0.437779;-0.899015;0.526364;0.955099
neutron;0.500000;2.000000;-2.000000;0.010976;0.437779;-0.899015;1.052728;1.716518
neutron;0.500000;2.000000;-1.500000;0.010976;0.437779;-0.899015;0.496564;1.716518
neutron;1.000000;0.000000;-2.000000;0.010976;0.437779;-0.899015;1.171928;0.935232
neutron;1.000000;0.000000;-1.500000;0.010976;0.437779;-0.899015;1.728092;0.564456
neutron;1.000000;0.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;1.000000;0.000000;-0.500000;0.010976;0.437779;-0.899015;1.668492;0.193680
neutron;1.000000;0.000000;0.000000;0.010976;0.437779;-0.899015;1.112328;0.193680
neutron;1.000000;0.000000;0.500000;0.010976;0.437779;-0.899015;0.556164;0.193680
neutron;1.000000;0.500000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;1.000000;0.500000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;1.000000;0.500000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;1.000000;0.500000;-0.500000;0.010976;0.437779;-0.899015;1.668492;0.193680
neutron;1.000000;0.500000;0.000000;0.010976;0.437779;-0.899015;1.112328;0.193680
neutron;1.000000;0.500000;0.500000;0.010976;0.437779;-0.899015;0.556164;0.193680
neutron;1.000000;1.000000;-2.000000;0.010976;0.437779;-0.899015;2.224656;0.935232
neutron;1.000000;1.000000;-1.500000;0.010976;0.437779;-0.899015;2.224656;0.564456
neutron;1.000000;1.000000;-1.000000;0.010976;0.437779;-0.899015;2.224656;0.193680
neutron;1.000000;1.000000;-0.500000;0.010976;0.437779;-0.899015;1.668492;0.193680
neutron;1.000000;1.000000;0.000000;0.010976;0.437779;-0.899015;1.112328;0.193680
neutron;1.000000;1.000000;0.500000;0.010976;0.437779;-0.899015;0.556164;0.193680
neutron;1.000000;1.500000;-2.000000;0.010976;0.437779;-0.899015;2.194856;0.955099
neutron;1.000000;1.500000;-1.500000;0.010976;0.437779;-0.899015;1.638692;0.955099
neutron;1.000000;1.500000;-1.000000;0.010976;0.437779;-0.899015;1.082528;0.955099
neutron;1.000000;1.500000;-0.500000;0.010976;0.437779;-0.899015;0.526364;0.955099
neutron;1.000000;2.000000;-2.000000;0.010976;0.437779;-0.899015;1.052728;1.716518
neutron;1.000000;2.000000;-1.500000;0.010976;0.437779;-0.899015;0.496564;1.716518
neutron;-2.000000;2.000000;-1.500000;-0.349553;0.918039;-0.187127;0.407036;7.620829
neutron;-2.000000;2.000000;-1.000000;-0.349553;0.918039;-0.187127;0.407036;7.620829
neutron;-2.000000;2.000000;-0.500000;-0.349553;0.918039;-0.187127;0.407036;7.620829
neutron;-2.000000;2.000000;0.000000;-0.349553;0.918039;-0.187127;0.407036;7.620829
neutron;-2.000000;2.500000;-1.500000;-0.349553;0.918039;-0.187127;0.951675;7.620829
neutron;-2.000000;2.500000;-1.000000;-0.349553;0.918039;-0.187127;0.951675;7.620829
neutron;-2.000000;2.500000;-0.500000;-0.349553;0.918039;-0.187127;0.951675;7.620829
neutron;-2.000000;2.500000;0.000000;-0.349553;0.918039;-0.187127;0.951675;7.620829
