Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-0.750000;-1.250000;0.000000;0.548910;neutron;2.000043
-0.750000;-1.250000;0.000000;-1.951144;alpha;2.000043
-0.750000;-1.250000;0.000000;-0.393238;neutron;2.089389
-0.750000;-1.250000;0.000000;2.218498;alpha;2.089389
-0.750000;-1.250000;0.000000;0.919881;neutron;0.548758
-0.750000;-1.250000;0.000000;3.944740;alpha;0.548758
-0.750000;-1.250000;0.000000;1.353354;neutron;2.103618
-0.750000;-1.250000;0.000000;-1.276169;alpha;2.103618
-0.750000;-1.250000;0.000000;3.674157;neutron;0.101103
-0.750000;-1.250000;0.000000;2.946220;alpha;0.101103
-0.750000;-1.250000;0.000000;2.429160;neutron;2.072911
-0.750000;-1.250000;0.000000;-0.161978;alpha;2.072911
-0.750000;-1.250000;0.000000;10.190845;neutron;2.133016
-0.750000;-1.250000;0.000000;7.524576;alpha;2.133016
-0.750000;-1.250000;0.000000;10.384709;neutron;2.407147
-0.750000;-1.250000;0.000000;7.326552;alpha;2.407147
-0.750000;-1.250000;0.000000;11.352252;neutron;0.207821
-0.750000;-1.250000;0.000000;12.138565;alpha;0.207821
-0.750000;-1.250000;0.000000;14.979258;neutron;2.276859
-0.750000;-1.250000;0.000000;12.133184;alpha;2.276859
-0.750000;-1.250000;0.000000;15.390262;neutron;2.044601
-0.750000;-1.250000;0.000000;12.834510;alpha;2.044601
-0.750000;-1.250000;0.000000;17.137165;neutron;2.011867
-0.750000;-1.250000;0.000000;19.651998;alpha;2.011867
-0.750000;-1.250000;0.000000;20.469524;neutron;1.032458
-0.750000;-1.250000;0.000000;22.011686;alpha;1.032458
-0.750000;-1.250000;0.000000;14.610077;neutron;2.027584
-0.750000;-1.250000;0.000000;17.144557;alpha;2.027584
-0.750000;-1.250000;0.000000;21.075178;neutron;2.162198
-0.750000;-1.250000;0.000000;18.372430;alpha;2.162198
-0.750000;-1.250000;0.000000;28.223190;neutron;2.126972
-0.750000;-1.250000;0.000000;25.564474;alpha;2.126972
-0.750000;-1.250000;0.000000;29.385178;neutron;1.257568
-0.750000;-1.250000;0.000000;26.843080;alpha;1.257568
-0.750000;-1.250000;0.000000;25.283192;neutron;1.091013
-0.750000;-1.250000;0.000000;22.668910;alpha;1.091013
-0.750000;-1.250000;0.000000;27.934439;neutron;2.082347
-0.750000;-1.250000;0.000000;30.734000;alpha;2.082347
-0.750000;-1.250000;0.000000;29.809168;neutron;1.431291
-0.750000;-1.250000;0.000000;32.323508;alpha;1.431291
-0.750000;-1.250000;0.000000;25.441079;neutron;2.006655
-0.750000;-1.250000;0.000000;22.932761;alpha;2.006655
-0.750000;-1.250000;0.000000;28.130197;neutron;1.396617
-0.750000;-1.250000;0.000000;30.645836;alpha;1.396617
-0.750000;-1.250000;0.000000;35.264972;neutron;0.198800
-0.750000;-1.250000;0.000000;34.484633;alpha;0.198800
-0.750000;-1.250000;0.000000;34.161683;neutron;1.091094
-0.750000;-1.250000;0.000000;32.561728;alpha;1.091094
-0.750000;-1.250000;0.000000;40.599546;neutron;0.078709
-0.750000;-1.250000;0.000000;37.139354;alpha;0.078709
-0.750000;-1.250000;0.000000;33.886922;neutron;0.313699
-0.750000;-1.250000;0.000000;37.125512;alpha;0.313699
-0.750000;-1.250000;0.000000;39.488641;neutron;2.301018
-0.750000;-1.250000;0.000000;36.612368;alpha;2.301018
-0.750000;-1.250000;0.000000;41.274694;neutron;2.001460
-0.750000;-1.250000;0.000000;38.772869;alpha;2.001460
-0.750000;-1.250000;0.000000;43.145979;neutron;1.520015
-0.750000;-1.250000;0.000000;45.666601;alpha;1.520015
-0.750000;-1.250000;0.000000;42.007765;neutron;0.473520
-0.750000;-1.250000;0.000000;43.012596;alpha;0.473520
-0.750000;-1.250000;0.000000;45.927809;neutron;2.005000
-0.750000;-1.250000;0.000000;43.421559;alpha;2.005000
-0.750000;-1.250000;0.000000;46.337566;neutron;0.941246
-0.750000;-1.250000;0.000000;47.790090;alpha;0.941246
-0.750000;-1.250000;0.000000;50.048511;neutron;0.799035
-0.750000;-1.250000;0.000000;51.362165;alpha;0.799035
-0.750000;-0.750000;0.000000;0.048899;neutron;2.000043
-0.750000;-0.750000;0.000000;-1.451133;alpha;2.000043
-0.750000;-0.750000;0.000000;0.129109;neutron;2.089389
-0.750000;-0.750000;0.000000;1.696151;alpha;2.089389
-0.750000;-0.750000;0.000000;3.226142;neutron;0.884184
-0.750000;-0.750000;0.000000;3.562197;alpha;0.884184
-0.750000;-0.750000;0.000000;0.919881;neutron;2.042067
