Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-2.000000;0.000000;1.500000;1.707054;neutron;0.287384
-2.000000;0.000000;1.500000;4.010372;neutron;2.425566
-2.000000;0.000000;1.500000;1.121318;alpha;0.500216
-2.000000;0.000000;1.500000;10.063092;alpha;2.025505
-1.500000;0.000000;0.500000;0.853527;neutron;0.428489
-1.500000;0.000000;0.500000;0.453298;neutron;0.802800
-1.500000;0.000000;0.500000;3.606111;neutron;2.142789
-1.500000;0.000000;0.500000;6.082186;neutron;0.176854
-1.500000;0.000000;0.500000;0.397945;alpha;1.585276
-1.500000;0.000000;0.500000;9.593332;alpha;2.184116
-1.500000;0.000000;1.000000;0.853527;neutron;0.998082
-1.500000;0.000000;1.000000;3.606111;neutron;2.425566
-1.500000;0.000000;1.000000;0.397945;alpha;1.585276
-1.500000;0.000000;1.000000;9.593332;alpha;2.184116
-1.500000;0.000000;1.500000;0.853527;neutron;1.567675
-1.500000;0.000000;1.500000;3.812779;neutron;2.115564
-1.500000;0.000000;1.500000;1.121318;alpha;0.500216
-1.500000;0.000000;1.500000;10.063092;alpha;1.479476
-1.500000;0.500000;0.500000;0.853527;neutron;0.428489
-1.500000;0.500000;0.500000;0.453298;neutron;0.061427
-1.500000;0.500000;0.500000;3.606111;neutron;2.142789
-1.500000;0.500000;0.500000;6.082186;neutron;0.176854
-1.500000;0.500000;0.500000;0.397945;alpha;2.387672
-1.500000;0.500000;0.500000;9.593332;alpha;2.184116
-1.500000;0.500000;1.000000;0.853527;neutron;0.522592
-1.500000;0.500000;1.000000;3.606111;neutron;2.425566
-1.500000;0.500000;1.000000;0.397945;alpha;2.387672
-1.500000;0.500000;1.000000;9.593332;alpha;2.184116
-1.500000;0.500000;1.500000;0.853527;neutron;0.522592
-1.500000;0.500000;1.500000;3.812779;neutron;2.115564
-1.500000;0.500000;1.500000;1.121318;alpha;1.302613
-1.500000;0.500000;1.500000;10.063092;alpha;1.479476
-1.000000;0.000000;-0.500000;0.000000;neutron;0.569593
-1.000000;0.000000;-0.500000;0.000000;neutron;1.482747
-1.000000;0.000000;-0.500000;3.201850;neutron;0.916394
-1.000000;0.000000;-0.500000;0.000000;neutron;0.644296
-1.000000;0.000000;-0.500000;5.656652;neutron;2.445465
-1.000000;0.000000;-0.500000;0.000000;neutron;1.201368
-1.000000;0.000000;-0.500000;0.000000;alpha;1.681977
-1.000000;0.000000;-0.500000;9.229313;alpha;1.250669
-1.000000;0.000000;0.000000;0.000000;neutron;1.139186
-1.000000;0.000000;0.000000;0.000000;neutron;1.482747
-1.000000;0.000000;0.000000;3.201850;neutron;1.832787
-1.000000;0.000000;0.000000;0.000000;neutron;1.288592
-1.000000;0.000000;0.000000;5.656652;neutron;1.630310
-1.000000;0.000000;0.000000;0.000000;neutron;1.201368
-1.000000;0.000000;0.000000;0.000000;alpha;2.182194
-1.000000;0.000000;0.000000;9.229313;alpha;2.184116
-1.000000;0.000000;0.500000;0.000000;neutron;1.708779
-1.000000;0.000000;0.500000;0.000000;neutron;1.482747
-1.000000;0.000000;0.500000;3.201850;neutron;2.425566
-1.000000;0.000000;0.500000;0.000000;neutron;1.595754
-1.000000;0.000000;0.500000;5.656652;neutron;0.815155
-1.000000;0.000000;0.500000;0.000000;neutron;1.151377
-1.000000;0.000000;0.500000;0.000000;alpha;2.182194
-1.000000;0.000000;0.500000;9.229313;alpha;2.184116
-1.000000;0.000000;1.000000;0.000000;neutron;2.278372
-1.000000;0.000000;1.000000;3.201850;neutron;2.425566
-1.000000;0.000000;1.000000;0.000000;neutron;1.595754
-1.000000;0.000000;1.000000;0.000000;alpha;2.182194
-1.000000;0.000000;1.000000;9.229313;alpha;2.184116
-1.000000;0.000000;1.500000;0.379729;neutron;2.278372
-1.000000;0.000000;1.500000;3.812779;neutron;1.509173
-1.000000;0.000000;1.500000;0.429531;neutron;0.951459
-1.000000;0.000000;1.500000;1.121318;alpha;0.500216
-1.000000;0.000000;1.500000;10.063092;alpha;0.933447
-1.000000;0.500000;-0.500000;0.000000;neutron;0.569593
-1.000000;0.500000;-0.500000;0.000000;neutron;0.741373
-1.000000;0.500000;-0.500000;3.201850;neutron;0.916394
-1.000000;0.500000;-0.500000;0.000000;neutron;0.644296
-1.000000;0.500000;-0.500000;5.656652;neutron;2.445465
-1.000000;0.500000;-0.500000;0.000000;neutron;1.802053
-1.000000;0.500000;-0.500000;0.000000;alpha;1.681977
-1.000000;0.500000;-0.500000;9.229313;alpha;1.250669
-1.000000;0.500000;0.000000;0.000000;neutron;1.139186
-1.000000;0.500000;0.000000;0.000000;neutron;0.741373
-1.000000;0.500000;0.000000;3.201850;neutron;1.832787
-1.000000;0.500000;0.000000;0.000000;neutron;0.797877
