Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-2.000000;0.000000;1.500000;-0.390536;-0.277334;0.877820;0.287384;1.707054
neutron;-1.500000;0.000000;0.500000;-0.390536;-0.277334;0.877820;0.428489;0.853527
neutron;-1.500000;0.000000;1.000000;-0.390536;-0.277334;0.877820;0.998082;0.853527
neutron;-1.500000;0.000000;1.500000;-0.390536;-0.277334;0.877820;1.567675;0.853527
neutron;-1.500000;0.500000;0.500000;-0.390536;-0.277334;0.877820;0.428489;0.853527
neutron;-1.500000;0.500000;1.000000;-0.390536;-0.277334;0.877820;0.522592;0.853527
neutron;-1.500000;0.500000;1.500000;-0.390536;-0.277334;0.877820;0.522592;0.853527
neutron;-1.000000;0.000000;-0.500000;-0.390536;-0.277334;0.877820;0.569593;0.000000
neutron;-1.000000;0.000000;0.000000;-0.390536;-0.277334;0.877820;1.139186;0.000000
neutron;-1.000000;0.000000;0.500000;-0.390536;-0.277334;0.877820;1.708779;0.000000
neutron;-1.000000;0.000000;1.000000;-0.390536;-0.277334;0.877820;2.278372;0.000000
neutron;-1.000000;0.000000;1.500000;-0.390536;-0.277334;0.877820;2.278372;0.379729
neutron;-1.000000;0.500000;-0.500000;-0.390536;-0.277334;0.877820;0.569593;0.000000
neutron;-1.000000;0.500000;0.000000;-0.390536;-0.277334;0.877820;1.139186;0.000000
neutron;-1.000000;0.500000;0.500000;-0.390536;-0.277334;0.877820;1.708779;0.000000
neutron;-1.000000;0.500000;1.000000;-0.390536;-0.277334;0.877820;1.802882;0.000000
neutron;-1.000000;0.500000;1.500000;-0.390536;-0.277334;0.877820;1.233289;0.379729
neutron;-0.500000;0.000000;1.000000;-0.390536;-0.277334;0.877820;2.278372;0.000000
neutron;-0.500000;0.000000;1.500000;-0.390536;-0.277334;0.877820;2.278372;0.379729
neutron;-0.500000;0.500000;1.000000;-0.390536;-0.277334;0.877820;1.802882;0.000000
neutron;-0.500000;0.500000;1.500000;-0.390536;-0.277334;0.877820;1.233289;0.379729
neutron;0.000000;0.000000;1.000000;-0.390536;-0.277334;0.877820;2.278372;0.000000
neutron;0.000000;0.000000;1.500000;-0.390536;-0.277334;0.877820;1.990988;0.379729
neutron;0.000000;0.500000;1.000000;-0.390536;-0.277334;0.877820;1.802882;0.000000
neutron;0.000000;0.500000;1.500000;-0.390536;-0.277334;0.877820;1.233289;0.379729
neutron;0.500000;0.000000;1.000000;-0.390536;-0.277334;0.877820;1.280290;0.000000
neutron;0.500000;0.000000;1.500000;-0.390536;-0.277334;0.877820;0.710697;0.379729
neutron;0.500000;0.500000;1.000000;-0.390536;-0.277334;0.877820;1.280290;0.000000
neutron;0.500000;0.500000;1.500000;-0.390536;-0.277334;0.877820;0.710697;0.379729
neutron;-0.500000;0.000000;1.000000;0.098561;-0.345823;0.933109;2.143373;0.000000
neutron;-0.500000;0.000000;1.500000;0.098561;-0.345823;0.933109;2.143373;0.357229
neutron;-0.500000;0.500000;1.000000;0.098561;-0.345823;0.933109;1.445825;0.000000
neutron;-0.500000;0.500000;1.500000;0.098561;-0.345823;0.933109;0.909982;0.357229
neutron;0.000000;0.000000;1.000000;0.098561;-0.345823;0.933109;2.143373;0.000000
neutron;0.000000;0.000000;1.500000;0.098561;-0.345823;0.933109;2.143373;0.357229
neutron;0.000000;0.500000;1.000000;0.098561;-0.345823;0.933109;1.445825;0.000000
neutron;0.000000;0.500000;1.500000;0.098561;-0.345823;0.933109;0.909982;0.357229
neutron;0.500000;0.000000;1.000000;0.098561;-0.345823;0.933109;2.143373;0.000000
neutron;0.500000;0.000000;1.500000;0.098561;-0.345823;0.933109;2.143373;0.357229
neutron;0.500000;0.500000;1.000000;0.098561;-0.345823;0.933109;1.445825;0.000000
neutron;0.500000;0.500000;1.500000;0.098561;-0.345823;0.933109;0.909982;0.357229
neutron;1.000000;0.000000;-0.500000;0.098561;-0.345823;0.933109;0.535843;0.000000
neutron;1.000000;0.000000;0.000000;0.098561;-0.345823;0.933109;1.071686;0.000000
neutron;1.000000;0.000000;0.500000;0.098561;-0.345823;0.933109;1.607530;0.000000
neutron;1.000000;0.000000;1.000000;0.098561;-0.345823;0.933109;2.143373;0.000000
neutron;1.000000;0.000000;1.500000;0.098561;-0.345823;0.933109;2.143373;0.357229
neutron;1.000000;0.500000;-0.500000;0.098561;-0.345823;0.933109;0.535843;0.000000
neutron;1.000000;0.500000;0.000000;0.098561;-0.345823;0.933109;1.071686;0.000000
neutron;1.000000;0.500000;0.500000;0.098561;-0.345823;0.933109;1.445825;0.000000
neutron;1.000000;0.500000;1.000000;0.098561;-0.345823;0.933109;1.445825;0.000000
neutron;1.000000;0.500000;1.500000;0.098561;-0.345823;0.933109;0.909982;0.357229
neutron;-2.000000;0.000000;-1.000000;-0.735352;-0.674424;-0.066409;0.122853;0.906596
neutron;-2.000000;0.000000;-0.500000;-0.735352;-0.674424;-0.066409;0.122853;0.906596
neutron;-2.000000;0.000000;0.000000;-0.735352;-0.674424;-0.066409;0.122853;0.906596
neutron;-2.000000;0.000000;0.500000;-0.735352;-0.674424;-0.066409;0.122853;0.906596
neutron;-1.500000;0.000000;-1.000000;-0.735352;-0.674424;-0.066409;0.802800;0.453298
neutron;-1.500000;0.000000;-0.500000;-0.735352;-0.674424;-0.066409;0.802800;0.453298
neutron;-1.500000;0.000000;0.000000;-0.735352;-0.674424;-0.066409;0.802800;0.453298
neutron;-1.500000;0.000000;0.500000;-0.735352;-0.674424;-0.066409;0.802800;0.453298
neutron;-1.500000;0.500000;-1.000000;-0.735352;-0.674424;-0.066409;0.061427;0.453298
