Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега;Dir_X;Dir_Y;Dir_Z
-0.500000;-1.000000;1.000000;4.912208;neutron;0.000000;0.96;0.28;0.00
-0.500000;-1.000000;1.000000;0.000000;neutron;2.555635;-0.59;-0.50;0.64
-0.500000;-1.000000;1.000000;7.620197;neutron;0.640840;0.78;-0.24;0.58
-0.500000;-1.000000;1.000000;9.225587;neutron;0.000000;0.11;0.97;0.21
-0.500000;-1.000000;1.000000;0.000000;neutron;0.000000;-0.18;0.98;0.06
-0.500000;-1.000000;1.000000;5.895060;neutron;1.156263;0.43;-0.07;0.90
-0.500000;-1.000000;1.000000;0.000000;neutron;0.000000;-0.06;0.60;0.80
-0.500000;-1.000000;1.000000;0.000000;neutron;0.000000;0.47;-0.81;-0.36
-0.500000;-1.000000;1.000000;3.425499;neutron;0.000000;0.51;0.29;0.81
-0.500000;-1.000000;1.000000;0.000000;alpha;0.000000;0.84;0.16;0.52
-0.500000;-1.000000;1.000000;0.000000;alpha;0.548559;0.91;-0.02;0.41
-0.500000;-1.000000;1.000000;2.290545;neutron;0.000000;0.66;0.39;0.64
-0.500000;-1.000000;1.000000;9.647229;neutron;0.000000;0.95;0.01;0.33
-0.500000;-1.000000;1.000000;9.833304;neutron;0.000000;0.45;-0.31;-0.84
-0.500000;-1.000000;1.000000;7.932590;neutron;1.223646;0.41;-0.11;0.91
-0.500000;-1.000000;1.000000;0.100000;neutron;0.586386;0.85;-0.19;0.49
-0.500000;-1.000000;1.000000;0.100000;alpha;0.000000;0.66;0.75;0.08
-0.500000;-1.000000;1.000000;2.770296;alpha;0.000000;-0.85;-0.52;-0.08
-0.500000;-1.000000;1.000000;6.839125;alpha;0.000000;0.32;0.73;0.61
-0.500000;-1.000000;1.000000;6.632250;alpha;0.000000;0.28;0.96;0.02
-0.500000;-1.000000;1.000000;0.100000;alpha;0.000000;-0.94;-0.35;-0.00
-0.500000;-1.000000;1.000000;0.200000;neutron;0.000000;0.13;-0.62;-0.78
-0.500000;-1.000000;1.000000;6.784023;neutron;0.000000;-0.94;-0.17;-0.29
