Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-0.029918;0.043182;-0.347296;156.192873;neutron;0.102245
-0.874231;0.201189;0.000000;214.243486;alpha;0.103135
-0.024777;0.000153;0.000000;234.774173;neutron;0.100036
-0.024777;0.000153;0.000000;234.774173;alpha;0.100036
0.015222;0.000058;0.000000;235.427101;neutron;0.100465
0.015222;0.000058;0.000000;235.427101;alpha;0.100465
-0.230634;0.013343;0.000000;544.147457;neutron;0.100149
-0.151005;0.005709;0.000000;545.786433;neutron;0.100294
-0.031147;0.000243;0.000000;548.850042;neutron;0.103771
-0.031147;0.000243;0.000000;548.893830;alpha;0.103771
0.008851;0.000020;0.000000;550.257774;neutron;0.134898
0.008851;0.000020;0.000000;550.257774;alpha;0.134898
0.048847;0.000597;0.000000;551.416684;neutron;0.107877
0.048847;0.000597;0.000000;551.521920;alpha;0.107877
-0.857002;5.807083;0.000000;734.271413;alpha;0.101082
-0.037517;0.000352;0.000000;862.810711;neutron;0.109649
-0.037517;0.000352;0.000000;862.835501;alpha;0.109649
0.002481;0.000002;0.000000;863.673825;neutron;0.110228
0.002481;0.000002;0.000000;863.673825;alpha;0.110228
0.042478;0.000451;0.000000;864.632340;neutron;0.105886
0.042478;0.000451;0.000000;864.542385;alpha;0.105886
