Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега;Dir_X;Dir_Y;Dir_Z
-1.000000;-1.000000;1.000000;9.674921;neutron;0.000000;-0.70;-0.04;-0.71
-1.000000;-1.000000;1.000000;1.713752;neutron;0.000000;0.55;0.83;0.05
-1.000000;-1.000000;1.000000;2.687282;neutron;0.000000;-0.95;-0.10;-0.28
-1.000000;-1.000000;1.000000;0.000000;neutron;0.000000;0.89;-0.34;0.31
-1.000000;-1.000000;1.000000;5.679851;neutron;0.000000;0.00;0.65;0.76
-1.000000;-1.000000;1.000000;9.057257;neutron;0.000000;0.06;0.14;0.99
-1.000000;-1.000000;1.000000;9.294130;neutron;0.000000;-0.22;-0.73;-0.65
-1.000000;-1.000000;1.000000;0.000000;neutron;0.000000;0.74;-0.22;-0.64
-1.000000;-1.000000;1.000000;0.000000;neutron;0.000000;-0.34;0.78;0.53
-1.000000;-1.000000;1.000000;5.325832;alpha;0.000000;-0.54;0.84;-0.06
-1.000000;-1.000000;1.000000;5.274795;alpha;0.000000;0.92;-0.12;0.38
-1.000000;-1.000000;1.000000;0.000000;alpha;2.023706;-0.99;-0.07;0.13
-1.000000;-1.000000;1.000000;1.409978;alpha;0.000000;0.75;-0.67;-0.04
-1.000000;-1.000000;1.000000;6.130509;neutron;0.000000;-0.15;0.87;0.48
-1.000000;-1.000000;1.000000;6.060670;neutron;2.607914;-0.77;-0.62;0.16
-1.000000;-1.000000;1.000000;0.100000;neutron;0.000000;0.19;-0.85;0.49
-1.000000;-1.000000;1.000000;3.199118;neutron;2.044063;-0.98;-0.09;0.18
-1.000000;-1.000000;1.000000;1.845677;neutron;2.043146;-0.19;-0.08;0.98
-1.000000;-1.000000;1.000000;9.609535;neutron;0.000000;-0.41;0.74;-0.53
-1.000000;-1.000000;1.000000;7.864685;neutron;2.746770;-0.36;-0.58;0.73
-1.000000;-1.000000;1.000000;8.393826;neutron;0.000000;-0.31;-0.57;-0.76
-1.000000;-1.000000;1.000000;0.100000;alpha;0.000000;0.56;0.83;0.02
-1.000000;-1.000000;1.000000;9.451970;alpha;0.000000;0.32;-0.94;0.08
-1.000000;-1.000000;1.000000;0.100000;alpha;0.000000;0.29;0.37;0.88
-1.000000;-1.000000;1.000000;0.100000;alpha;0.000000;0.99;-0.12;-0.01
-1.000000;-1.000000;1.000000;0.200000;neutron;0.000000;-0.35;-0.20;-0.92
-1.000000;-1.000000;1.000000;5.559314;neutron;2.474916;-0.51;-0.30;0.81
-1.000000;-1.000000;1.000000;9.245993;neutron;2.141433;-0.04;-0.93;0.36
-1.000000;-1.000000;1.000000;0.200000;neutron;0.000000;-0.98;-0.20;-0.05
-1.000000;-1.000000;1.000000;2.507473;neutron;0.000000;-0.05;0.96;0.28
-1.000000;-1.000000;1.000000;0.200000;neutron;0.000000;-0.73;0.68;-0.10
-1.000000;-1.000000;1.000000;8.525916;neutron;0.000000;-0.11;-0.92;-0.37
-1.000000;-1.000000;1.000000;5.526365;neutron;0.000000;-0.23;-0.86;-0.45
-1.000000;-1.000000;1.000000;7.001156;alpha;0.000000;0.55;-0.67;-0.50
-1.000000;-1.000000;1.000000;10.000062;alpha;0.000000;-0.67;0.04;0.74
-1.000000;-1.000000;1.000000;0.200000;alpha;0.000000;0.69;-0.51;-0.51
-1.000000;-1.000000;1.000000;8.430032;alpha;0.000000;0.78;-0.25;-0.57
-1.000000;-1.000000;1.000000;2.207844;neutron;0.000000;-0.34;-0.93;-0.13
-1.000000;-1.000000;1.000000;9.374324;neutron;0.000000;0.96;-0.10;0.25
-1.000000;-1.000000;1.000000;5.117584;neutron;0.000000;-0.79;0.59;-0.17
