Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-1.000000;-1.000000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;-1.000000;-1.000000;0.500000;-0.704300;-0.038113;-0.708879;0.705339;9.674921
neutron;-0.500000;-1.000000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;-0.500000;-1.000000;0.500000;-0.704300;-0.038113;-0.708879;0.705339;9.674921
neutron;-1.000000;-0.500000;0.500000;-0.704300;-0.038113;-0.708879;0.705339;9.674921
neutron;-1.000000;-0.500000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;-1.000000;0.000000;0.500000;-0.704300;-0.038113;-0.708879;0.705339;9.674921
neutron;-1.000000;0.000000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;-1.000000;0.500000;0.500000;-0.704300;-0.038113;-0.708879;0.705339;9.674921
neutron;-1.000000;0.500000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;-1.000000;1.000000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;-1.000000;1.000000;0.500000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;0.000000;-1.000000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;0.500000;-1.000000;0.500000;-0.704300;-0.038113;-0.708879;0.705339;9.674921
neutron;0.500000;-1.000000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;0.000000;-1.000000;0.500000;-0.704300;-0.038113;-0.708879;0.705339;9.674921
neutron;1.000000;-1.000000;0.500000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;1.000000;-1.000000;1.000000;-0.704300;-0.038113;-0.708879;0.000000;9.674921
neutron;-1.000000;-1.000000;1.000000;0.552336;0.831946;0.052827;0.000000;1.713752
neutron;-0.500000;-1.000000;1.000000;0.552336;0.831946;0.052827;0.000000;1.713752
neutron;-1.000000;-0.500000;1.000000;0.552336;0.831946;0.052827;0.000000;1.713752
neutron;-0.500000;-0.500000;1.000000;0.552336;0.831946;0.052827;0.601000;1.713752
