Particle_Type;Detector_X;Detector_Y;Detector_Z;Dir_X;Dir_Y;Dir_Z;Track_Length;Time
neutron;-2.000000;0.000000;-0.500000;-0.895873;0.402963;0.187171;1.365385;8.827896
neutron;-2.000000;0.000000;0.000000;-0.895873;0.402963;0.187171;1.365385;8.827896
neutron;-2.000000;0.000000;0.500000;-0.895873;0.402963;0.187171;1.365385;8.827896
neutron;-2.000000;0.000000;1.000000;-0.895873;0.402963;0.187171;1.365385;8.827896
neutron;-2.000000;0.500000;-0.500000;-0.895873;0.402963;0.187171;1.555131;8.827896
neutron;-2.000000;0.500000;0.000000;-0.895873;0.402963;0.187171;2.232460;8.827896
neutron;-2.000000;0.500000;0.500000;-0.895873;0.402963;0.187171;2.232460;8.827896
neutron;-2.000000;0.500000;1.000000;-0.895873;0.402963;0.187171;2.232460;8.827896
neutron;-2.000000;0.500000;1.500000;-0.895873;0.402963;0.187171;0.677330;9.864649
neutron;-2.000000;1.000000;-0.500000;-0.895873;0.402963;0.187171;1.555131;8.827896
neutron;-2.000000;1.000000;0.000000;-0.895873;0.402963;0.187171;2.232460;8.827896
neutron;-2.000000;1.000000;0.500000;-0.895873;0.402963;0.187171;2.232460;8.827896
neutron;-2.000000;1.000000;1.000000;-0.895873;0.402963;0.187171;2.232460;8.827896
neutron;-2.000000;1.000000;1.500000;-0.895873;0.402963;0.187171;0.677330;9.864649
neutron;-2.000000;1.500000;-0.500000;-0.895873;0.402963;0.187171;1.430553;8.910947
neutron;-2.000000;1.500000;0.000000;-0.895873;0.402963;0.187171;2.107883;8.910947
neutron;-2.000000;1.500000;0.500000;-0.895873;0.402963;0.187171;2.107883;8.910947
neutron;-2.000000;1.500000;1.000000;-0.895873;0.402963;0.187171;2.107883;8.910947
neutron;-2.000000;1.500000;1.500000;-0.895873;0.402963;0.187171;0.677330;9.864649
neutron;-2.000000;2.000000;-0.500000;-0.895873;0.402963;0.187171;0.189746;9.738152
neutron;-2.000000;2.000000;0.000000;-0.895873;0.402963;0.187171;0.867076;9.738152
neutron;-2.000000;2.000000;0.500000;-0.895873;0.402963;0.187171;0.867076;9.738152
neutron;-2.000000;2.000000;1.000000;-0.895873;0.402963;0.187171;0.867076;9.738152
neutron;-2.000000;2.000000;1.500000;-0.895873;0.402963;0.187171;0.677330;9.864649
neutron;-1.500000;0.000000;-0.500000;-0.895873;0.402963;0.187171;1.923500;8.455819
neutron;-1.500000;0.000000;0.000000;-0.895873;0.402963;0.187171;1.923500;8.455819
neutron;-1.500000;0.000000;0.500000;-0.895873;0.402963;0.187171;1.923500;8.455819
neutron;-1.500000;0.000000;1.000000;-0.895873;0.402963;0.187171;1.923500;8.455819
neutron;-1.500000;0.500000;-0.500000;-0.895873;0.402963;0.187171;2.113246;8.455819
neutron;-1.500000;0.500000;0.000000;-0.895873;0.402963;0.187171;2.232460;8.455819
neutron;-1.500000;0.500000;0.500000;-0.895873;0.402963;0.187171;2.232460;8.455819
neutron;-1.500000;0.500000;1.000000;-0.895873;0.402963;0.187171;2.232460;8.455819
neutron;-1.500000;0.500000;1.500000;-0.895873;0.402963;0.187171;0.119215;9.864649
neutron;-1.500000;1.000000;-0.500000;-0.895873;0.402963;0.187171;2.113246;8.455819
