Детектор_X;Детектор_Y;Детектор_Z;Время;Тип_частицы;Длина_пробега
-0.024777;0.000153;0.000000;234.544359;neutron;0.100312
-0.024777;0.000153;0.000000;234.544359;alpha;0.100312
0.015222;0.000058;0.000000;236.208304;neutron;0.120724
0.015222;0.000058;0.000000;236.208304;alpha;0.120724
1.946414;3.169353;-0.694593;470.387280;neutron;0.119530
-0.030153;-0.030443;-0.347296;471.995358;neutron;0.100052
-0.031147;0.000243;0.000000;549.193386;neutron;0.101905
-0.031147;0.000243;0.000000;549.200511;alpha;0.101905
0.008851;0.000020;0.000000;550.022214;neutron;0.100434
0.008851;0.000020;0.000000;550.022175;alpha;0.100434
-0.077500;0.001502;0.000000;861.562197;alpha;0.105174
-0.037517;0.000352;0.000000;862.918702;neutron;0.123986
-0.037517;0.000352;0.000000;862.917829;alpha;0.123986
0.002481;0.000002;0.000000;863.729531;neutron;0.140948
0.002481;0.000002;0.000000;863.736524;alpha;0.140948
